Code,Title,Description
11111,Soybean Farming,""
11112,Oilseed (except Soybean) Farming,""
11113,Dry Pea and Bean Farming,""
11114,Wheat Farming,""
11115,Corn Farming,""
11116,Rice Farming,""
11119,Other Grain Farming,"This industry comprises establishments primarily engaged in (1) growing grain(s) and/or producing grain seeds (except wheat, corn, and rice) or (2) growing a combination of grain(s) and oilseed(s) with no one grain (or family of grains) or oilseed (or family of oilseeds) accounting for one-half of the establishment's agricultural production (i.e., value of crops for market).  Combination grain(s) and oilseed(s) establishments may produce oilseed(s) and grain(s) seeds and/or grow oilseed(s) and grain(s).

Illustrative Examples:

Barley farming
Rye farming
Milo farming
Sorghum farming
Oat farming
Wild rice farming
Oilseed and grain combination farming"
11121,Vegetable and Melon Farming,This industry comprises establishments primarily engaged in one or more of the following: (1) growing vegetable and/or melon crops; (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding plants.  The crops included in this industry have an annual growth cycle and are grown in open fields.  Climate and cultural practices limit producing areas but often permit the growing of a combination of crops in a year.
11131,Orange Groves,""
11132,Citrus (except Orange) Groves,""
11133,Noncitrus Fruit and Tree Nut Farming,"This industry comprises establishments primarily engaged in one or more of the following: (1) growing noncitrus fruits (e.g., apples, grapes, berries, peaches); (2) growing tree nuts (e.g., pecans, almonds, pistachios); or (3) growing a combination of fruit(s) and tree nut(s) with no one fruit (or family of fruit) or family of tree nuts accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)."
11141,Food Crops Grown Under Cover,"This industry comprises establishments primarily engaged in growing food crops (e.g., fruits, melons, tomatoes) under glass or protective cover."
11142,Nursery and Floriculture Production,"This industry comprises establishments primarily engaged in (1) growing nursery and floriculture products (e.g., nursery stock, shrubbery, cut flowers, flower seeds, foliage plants) under cover or in open fields and/or (2) growing short rotation woody trees with a growing and harvesting cycle of 10 years or less for pulp or tree stock (e.g., cut Christmas trees, cottonwoods)."
11191,Tobacco Farming,""
11192,Cotton Farming,""
11193,Sugarcane Farming,""
11194,Hay Farming,""
11199,All Other Crop Farming,"This industry comprises establishments primarily engaged in (1) growing crops (except oilseeds and/or grains; vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture products; tobacco; cotton; sugarcane; or hay) or (2) growing a combination of crops (except a combination of oilseed(s) and grain(s); and a combination of fruit(s) and tree nut(s)) with no one crop or family of crops accounting for one-half of the establishment's agricultural production (i.e., value of crops for market).

Illustrative Examples:

Agave farming
Spice farming
General combination crop farming (except oilseed and grain; vegetables and melons; fruit and nut combinations)
Tea farming
Hay seed farming
Maple sap gathering
Peanut farming
Sugar beet farming
Grass seed farming"
11211,"Beef Cattle Ranching and Farming, including Feedlots","This industry comprises establishments primarily engaged in raising cattle (including cattle for dairy herd replacements), or feeding cattle for fattening."
11212,Dairy Cattle and Milk Production,""
11213,Dual-Purpose Cattle Ranching and Farming,""
11221,Hog and Pig Farming,""
11231,Chicken Egg Production,""
11232,Broilers and Other Meat Type Chicken Production,""
11233,Turkey Production,""
11234,Poultry Hatcheries,""
11239,Other Poultry Production,""
11241,Sheep Farming,""
11242,Goat Farming,""
11251,Aquaculture,"This industry comprises establishments primarily engaged in the farm raising and production of aquatic animals or plants in controlled or selected aquatic environments.  These establishments use some form of intervention in the rearing process to enhance production, such as holding in captivity, regular stocking, feeding, and protecting from predators, pests, and disease."
11291,Apiculture,""
11292,Horses and Other Equine Production,""
11293,Fur-Bearing Animal and Rabbit Production,""
11299,All Other Animal Production,""
11311,Timber Tract Operations,""
11321,Forest Nurseries and Gathering of Forest Products,""
11331,Logging,""
11411,Fishing,"This industry comprises establishments primarily engaged in the commercial catching or taking of finfish, shellfish, or miscellaneous marine products from a natural habitat, such as the catching of bluefish, eels, salmon, tuna, clams, crabs, lobsters, mussels, oysters, shrimp, frogs, sea urchins, and turtles."
11421,Hunting and Trapping,""
11511,Support Activities for Crop Production,"This industry comprises establishments primarily engaged in providing support activities for growing crops.

Illustrative Examples:

Aerial crop dusting or spraying (i.e., using specialized or dedicated aircraft)
Farm management services
Cotton ginning
Planting crops
Cultivating services
Vineyard cultivation services"
11521,Support Activities for Animal Production,""
11531,Support Activities for Forestry,""
21112,Crude Petroleum Extraction,""
21113,Natural Gas Extraction,""
