Code,Title,Description
111110,Soybean Farming,This industry comprises establishments primarily engaged in growing soybeans and/or producing soybean seeds.
111120,Oilseed (except Soybean) Farming,"This industry comprises establishments primarily engaged in growing fibrous oilseed producing plants and/or producing oilseed seeds, such as sunflower, safflower, flax, rape, canola, and sesame."
111130,Dry Pea and Bean Farming,"This industry comprises establishments primarily engaged in growing dry peas, beans, and/or lentils."
111140,Wheat Farming,This industry comprises establishments primarily engaged in growing wheat and/or producing wheat seeds.
111150,Corn Farming,This industry comprises establishments primarily engaged in growing corn (except sweet corn) and/or producing corn seeds.
111160,Rice Farming,This industry comprises establishments primarily engaged in growing rice (except wild rice) and/or producing rice seeds.
111191,Oilseed and Grain Combination Farming,This U.S. industry comprises establishments engaged in growing a combination of oilseed(s) and grain(s) with no one oilseed (or family of oilseeds) or grain (or family of grains) accounting for one-half of the establishment's agricultural production (value of crops for market).  These establishments may produce oilseed(s) and grain(s) seeds and/or grow oilseed(s) and grain(s).
111199,All Other Grain Farming,"This U.S. industry comprises establishments primarily engaged in growing grains and/or producing grain(s) seeds (except wheat, corn, rice, and oilseed(s) and grain(s) combinations).

Illustrative Examples:

Barley farming
Sorghum farming
Oat farming
Wild rice farming
Rye farming"
111211,Potato Farming,This U.S. industry comprises establishments primarily engaged in growing potatoes and/or producing seed potatoes.
111219,Other Vegetable (except Potato) and Melon Farming,"This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) growing melons and/or vegetables (except potatoes; dry peas; dry beans; field, silage, or seed corn; and sugar beets); (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding plants.

Illustrative Examples:

Carrot farming
Squash farming
Green bean farming
Tomato farming
Watermelon farming 
Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon)
Vegetable (except potato) farming
Pepper farming (e.g., bell, chili, green, red, sweet peppers)"
111310,Orange Groves,This industry comprises establishments primarily engaged in growing oranges.
