Code,Title,Description,Related Job Titles,Tasks
111,Chief executives and senior officials,"Jobholders in this minor group plan, organise and direct the operations of large companies and organisations and of special interest organisations direct government departments and local authorities; and formulate national and local government policy."
112,Production managers and directors,"Job holders in this minor group plan, organise, direct and co-ordinate all activities and resources involved with production, manufacturing, construction and mining operations in industry."
113,Functional managers and directors,"Functional managers and directors plan, organise and advise on specialist functions or fields of activity in an organisation. They formulate and administer policies concerning the financial, advertising, marketing, sales, purchasing, work methods, public relations, human resources, information technology and telecoms operations of an organisation."
114,"Directors in logistics, warehousing and transport","Directors in logistics, warehousing and transport plan, organise, direct and co-ordinate at a strategic level the activities and resources necessary for the efficient and convenient transportation of passengers or freight, and the loading, unloading, storage, warehousing and distribution of goods and materials."
115,Managers and directors in retail and wholesale,"Managers and directors in retail and wholesale plan, organise, direct and co-ordinate the activities necessary for the sale of wholesale and retail goods to customers."
116,Senior officers in protective services,"Senior officers in protective services direct the operations of police stations, fire stations and prisons; supervise customs, excise and immigration staff and oversee inspections of goods and persons entering or leaving the country; and serve as commissioned officers in Her Majesty�s armed forces and in foreign and Commonwealth armed forces."
117,Health and social services managers and directors,"Managers and directors in health and social services plan, organise, direct and co-ordinate the activities and resources necessary for the efficient provision of primary and secondary health care services, social and other welfare services."
121,Managers and proprietors in agriculture related services,"Jobholders in this minor group plan, organise, direct, and control the activities and resources of agricultural, forestry, fishing and similar establishments and services."
122,Managers and proprietors in hospitality and leisure services,"Workers in this minor group plan, organise, direct and co-ordinate (usually with the help of other managers) the activities and resources of hotels, public houses and similar establishments, restaurants, recreation and entertainment establishments, leisure and sports facilities and travel agencies."
123,Managers and proprietors in health and care services,"Job holders in this minor group manage and coordinate the work and resources of health care practices, residential and day care establishments and domiciliary care services."
124,"Managers in logistics, warehousing and transport","Managers in logistics, warehousing and transport plan, organise, and co-ordinate the activities and resources necessary for the efficient and convenient transportation of passengers or freight, and the loading, unloading, storage, warehousing and distribution of goods and materials."
125,Managers and proprietors in other services,"Job holders in this minor group plan, co-ordinate and direct the activities and resources of property services, garages, hairdressers and other personal services, , waste and recycling facilities, the creative industries, betting and gambling establishments, hire services, consultancy services, and other services not elsewhere classified in SUB-MAJOR GROUP 12: Other Managers and Proprietors."
211,Natural and social science professionals,"Natural and social science professionals are involved in planning, directing and undertaking research across all of the natural sciences and in the social sciences which encompasses the humanities."
212,Engineering professionals,"Engineering professionals plan, organise and technically supervise the construction, testing, installation and maintenance of mechanical, structural, chemical, electrical, electronic, aeronautical and astronautical systems and equipment, advise and direct technical aspects of production programmes, and plan production schedules and work procedures to ensure efficiency and quality. Engineering project managers and project engineers schedule, manage and oversee engineering projects."
213,Information technology professionals,"Information technology professionals advise clients (both internal and external) as to the effective utilisation of information technology, develop and implement systems and software for those clients, manage major information technology projects and carry out specialised information technology."
214,Web and multimedia design professionals,"Web and multimedia design professionals design, develop and maintain websites and applications, use illustrative, sound, visual and multimedia techniques to convey messages, and create special visual effects and animations for computer games, film, interactive and other media."
215,Conservation and environment professionals,"Conservation and environment professionals use specialist skills and knowledge to manage and conserve the environment, its associated species and its cycles of life, to address the environmental impacts of human activities and industrial processes, and to promote the sustainable use of resources and a wider public understanding and enjoyment of the environment. (It should be noted that Conservators are classified with Librarians and Related Professionals in minor group 245)."
216,Research and development (r&d) and other research professionals,"Jobholders in this unit group plan, organise, direct and advise on the research and development operations of an organisation."
221,Medical practitioners,"Health professionals diagnose mental and physical injuries, disorders and diseases, provide treatment with drugs, surgery and corrective devices, carry out medical tests and recommend preventative action to patients and conduct research into treatments and drugs."
222,Therapy professionals,"Workers in this minor group plan and apply physical, therapeutic and other treatments or activities to assist in the physical and psychological recovery from illness and injury, and to minimise the effects of disabilities."
223,Nursing professionals,"Nursing professionals provide nursing care for the sick and injured and prenatal and postnatal care for mothers and babies, working with and providing high level support for other health professionals, within teams of other healthcare providers and/or working autonomously across defined areas of significant responsibility."
224,Veterinarians,"Veterinarians provide care and medical services for pets, livestock and wild animals, advise owners on general and medical care and perform tasks relating to food safety policy."
225,Other health professionals,"Other health professionals dispense drugs and corrective devices, diagnose and treat dental and oral diseases, operate dental and medical testing equipment, assist in post-mortems, fit artificial limbs and hearing aids, provide emergency aid and transport people to hospitals, diagnose and treat ailments of the human foot and lower limb and assist in a range of other medical tasks."
231,Teaching professionals,"Teaching professionals plan, organise and provide instruction in academic, technical, vocational, diversionary and other subjects."
232,Other educational professionals,"Job holders in this unit group plan, organise, direct and co-ordinate the administration, support systems and activities that facilitate the effective running of a school, university, college or other educational establishment."
241,Legal professionals,"Legal professionals advise and act on behalf of individuals, businesses, organisations and government in legal matters; preside over judicial proceedings; and perform related professional legal duties."
242,Finance professionals,"Finance professionals perform accountancy duties, advise industrial, commercial and other establishments on financial matters, collect and analyse financial information, advise on tax matters and assess tax liabilities and manage investments."
243,"Business, research and administrative professionals","Business, research and administrative professionals advise industrial, commercial and other establishments on management, business and administrative matters, collect and analyse financial and other information, direct and co-ordinate marketing activities and find new business and negotiate contracts for an organisation, ensures that companies conform to relevant legal, statutory and financial requirements, and carry out research in non-scientific areas of activity."
244,Business and financial project management professionals,"Job holders in this minor group manage and oversee major projects across all sectors of modern industry, commerce and the public sector, in areas such as e-commerce, business analysis, finance, product development, marketing, and human resources."
245,"Architects, chartered architectural technologists, planning officers, surveyors and construction professionals","Architects, Chartered architectural technologists, town planners and surveyors conduct surveys to determine the exact position of natural and constructed features, design, provide technical solutionsand plan the layout of buildings for commercial, residential, industrial and other uses, prepare bills of quantities for construction projects, manage major construction projects and provide architectural design services."
246,Welfare professionals,"Workers in this minor group provide information, advice and support to protect the welfare of vulnerable groups; supervise, counsel and help offender�s and provide spiritual motivation and guidance."
247,Librarians and related professionals,"Librarians and related professionals appraise, obtain, organise, develop, preserve and make available collections of written and recorded material, art objects, pictures, artefacts and other items of general and specialised interest."
248,Quality and regulatory professionals,"Quality and regulatory professionals plan, coordinate and technically supervise products or services to ensure they are fit for purpose and meet legal compliance and industry quality standards."
249,Media professionals,"Media professionals plan, coordinate and technically supervise activities in journalism, public relations and advertising."
311,"Science, engineering and production technicians","Science, engineering and production technicians perform a variety of technical support functions to assist the work of scientists and biomedical technologists, assist in the design, development, production and maintenance of electronic systems, perform technical quality assurance related tasks, support the work of building and civil engineers, and perform various other technical support functions for engineers."
312,"Cad, drawing and architectural technicians","Workers in this minor group prepare technical drawings, plans and charts and operate and maintain 3D printers. Architectural technicians contribute to and co-ordinate the detailed design process and design information."
313,Information technology technicians,"Workers in this minor group are responsible for the day-to-day running and maintenance of IT systems, databases, websites and networks, and provide technical support, advice and guidance for users and customers."
321,Health associate professionals,"Workers in this minor group provide a variety of technical support functions for a range of health professionals such as fitting spectacles, dispensing medicines, and providing complementary medical care."
322,Welfare and housing associate professionals,"Welfare and housing associate professionals organise and provide social welfare and related community services including working with children and young people, address the housing needs of individuals or localities, assist those with physical and mental disabilities or illnesses, investigate cases of abuse or neglect, provide counselling services and perform other welfare functions."
323,Teaching and childcare associate professionals,Jobholders in this unit group assist teachers in the education and care of children from nursery to secondary school age.
324,Veterinary nurses,Workers in this minor group provide assistance to veterinarians in the treatment and care of sick or injured animals.
331,Protective service occupations,"Workers in this minor group serve in Her Majesty�s, foreign and Commonwealth armed forces, investigate crimes and maintain law and order, fight fires and advise on fire prevention, guard inmates and maintain discipline at prisons and detention centres, and perform other miscellaneous protective service roles."
341,"Artistic, literary and media occupations","Workers in this minor group create and restore artistic work; write, evaluate and edit literary material; translate written and spoken statements; perform in films, theatre and other acts of entertainment; write, arrange and perform musical compositions; produce, direct, present and participate in television programmes, films and stage presentations; create artistic content for various media; and promote and administer artistic and cultural activities."
342,Design occupations,"Workers in this minor group design industrial and commercial products, clothing and fashion accessories and interior spaces."
