Code,Title,Description,Related Job Titles,Tasks
1111,Chief executives and senior officials,"This unit group includes those who head large enterprises and organisations. They plan, direct and co-ordinate, with directors and managers, the resources necessary for the various functions and specialist activities of these enterprises and organisations. The chief executives of hospitals will be classified in this unit group. Senior officials in national government direct the operations of government departments. Senior officials in local government participate in the implementation of local government policies and ensure that legal, statutory and other provisions concerning the running of a local authority are observed. Senior officials of special interest organisations ensure that legal, statutory and other regulations concerning the running of trade associations, employers associations, learned societies, trades unions, charitable organisations and similar bodies are observed. Chief executives and senior officials also act as representatives of the organisations concerned for the purposes of high-level consultation and negotiation.","- Chairman
- Chief executive
- Civil servant (grade 5 & above)
- Diplomat
- Vice President","- analyses economic, social, legal and other data, and plans, formulates and directs at strategic level the operation of a company or organisation
- consults with subordinates to formulate, implement and review company/organisation policy, authorises funding for policy implementation programmes and institutes reporting, auditing and control systems
- prepares, or arranges for the preparation of, reports, budgets, forecasts or other information
- plans and controls the allocation of resources and the selection of senior staff
- evaluates government/local authority departmental activities, discusses problems with government/local authority officials and administrators and formulates departmental policy
- negotiates and monitors contracted out services provided to the local authority by the private sector
- studies and acts upon any legislation that may affect the local authority
- stimulates public interest by providing publicity, giving lectures and interviews and organising appeals for a variety of causes
- directs or undertakes the preparation, publication and dissemination of reports and other information of interest to members and other interested parties"
1112,Elected officers and representatives,"Elected representatives in national government formulate and ratify legislation and government policy, act as elected representatives in Parliament, Regional Parliaments or Assemblies, and as representatives of the government and its executive. Elected officers in local government act as representatives in the local authority and participate in the formulation, ratification and implementation of local government policies.","- Councillor (local government)
- Member of Parliament","- represents constituency within the legislature and advises and assists constituents on a variety of issues
- acts as a Party representative within the constituency
- participates in debates and votes on legislative and other matters
- holds positions on parliamentary or local government committees
- tables questions to ministers and introduces proposals for government action
- recommends or reviews potential policy or legislative change, and offers advice and opinions on current policy
- advises on the interpretation and implementation of policy decisions, acts and regulations
- studies and acts upon any legislation that may affect the local authority"
1121,Production managers and directors in manufacturing,"Production managers and directors in manufacturing plan, organise, direct and co-ordinate the activities and resources necessary for production in manufacturing industries including the maintenance of engineering items, equipment and machinery.","- Engineering manager
- Managing director (engineering)
- Operations manager (manufacturing)
- Production manager
- Technical manager","- liaises with other managers to plan overall production activity and daily manufacturing activity, sets quality standards and estimates timescales and costs
- manages production to ensure that orders are completed to an agreed date and conform to customer and other requirements
- monitors production and production costs and undertakes or arranges for the preparation of reports and records
- oversees supervision of the production line and its staff, ensures targets are met"
1122,Production managers and directors in construction,"Production managers and directors in construction direct and co-ordinate resources for the construction and maintenance of civil and structural engineering works including houses, flats, factories, roads and runways, bridges, tunnels and railway works, harbour, dock and marine works and water supply, drainage and sewage works.","- Building services manager
- Construction manager
- Director (building construction)
- Owner (electrical contracting)
- Site manager","- liaises with other managers to plan overall production activity and construction activities, sets quality standards and estimates timescales and costs
- receives invitations to tender, arranges for estimates and liaises with client, architects, Chartered architectual technologists and engineers for the preparation of contracts
- plans, directs and co-ordinates the construction and maintenance of civil and structural engineering works, including demolition, pipelines and pilings
- receives reports upon work in progress to ensure that materials and construction methods meet with specifications and statutory requirements and that there are no deviations from agreed plans"
1123,Production managers and directors in mining and energy,"Production managers and directors in mining, energy and water supply plan, organise, direct and co-ordinate the activities and resources necessary for the extraction of minerals and other natural deposits, the utilisation of sustainable and renewable energy sources and the production, storage and provision of gas, water and electricity supplies.","- Operations manager (mining, water & energy)
- Quarry manager
- Service manager (public utilities)","- co-ordinates the activities of mines and open-cast mining operations, quarries, drilling operations, offshore installations, solar power stations, wind farms and other renewable energy generating facilities
- co-ordinates and supervises coal-face production activities and ensures compliance with health and safety regulations
- determines staffing, material and other needs
- ensures that all haulage, storage, purification and distribution work is performed efficiently and in compliance with statutory and other regulations
- arranges for the provision of gas, water and electricity supplies
- ensures compliance with issues relating to the environmental impact of operations"
1131,Financial managers and directors,"Financial managers and directors plan, organise, direct and co-ordinate the financial information of companies, the activities and resources of financial institutions, such as banks and insurance companies, and advise on company financial policy.","- Bank Manager
- Finance Director
- Insurance Manager
- Investment banker
- Treasury manager","- participates in the formulation of strategic and long-term business plans, assesses the implications for the organisation financial mechanisms and oversees their implementation
- plans external and internal audit programmes, arranges for the collection and analysis of accounting, budgetary and related information, and manages the company's financial systems
- determines staffing levels appropriate for accounting activities
- assesses and advises on factors affecting business performance
- plans, organises, directs and co-ordinates the activities of financial institutions
- ensures compliance with accounting, recording and information storage, retrieval procedures and the statutory regulatory framework"
1132,"Marketing, sales and advertising directors","Marketing, sales and advertising directors plan, organise and direct advertising campaigns and market research and formulate and implement an organisation�s marketing, sales and social media policies.","- Account director (advertising)
- Commercial director
- Marketing director
- Media director
- Sales director","- liaises with client to discuss product/service to be marketed and develops the most appropriate strategy to deliver the objectives
- discusses employer's or clients' requirements, plans and monitors surveys and analyses of customers' reactions to products
- defines target group for advertising campaigns and implements strategy through appropriate media planning work
- conceives advertising campaigns to impart the desired product image in an effective and economical way
- examines and analyses sales figures, advises on and monitors marketing campaigns and promotional activities
- controls the recruitment and training of staff
- stays abreast of changes in market trends and advertising rates
- produces and/or assesses reports and recommendations concerning marketing, advertising and sales strategies"
1133,Public relations and communications directors,"Public relations and communications directors plan, organise, direct and co-ordinate the public relations, communications and public information activities of an organisation or on behalf of clients.","- Head of communications
- Head of public relations","- develops and reviews the public relations policy and direction of an organisation
- directs and oversees the work of the communications department of an organisation or work on behalf of clients at a public relations firm
- liaises with client to discuss their needs and develops the most appropriate strategy to deliver the objectives directs public relations campaigns and communicates messages through a variety of media
- reviews and revises campaign strategy and takes appropriate corrective measures if necessary
- stays abreast of changes in media, readership or viewing figures
- directs the arranging of conferences, exhibitions, seminars, etc. to promote the image of a product, service or organisation"
1134,Purchasing managers and directors,"Purchasing managers and directors (not retail) plan, organise, direct and co-ordinate the purchasing functions of industrial, commercial, government organisations and public agencies to ensure cost-effectiveness.","- Bid manager
- Director of contracts
- Purchasing manager
- Supply chain director","- determines what goods, services and equipment need to be sourced
- devises purchasing policies, decides on whether orders should be put out to tender and evaluates suppliers' bids
- negotiates prices and contracts with suppliers and draws up contract documents
- arranges for quality checks of incoming goods and ensures suppliers deliver on time
- interviews suppliers' representatives and visits trade fair
- researches and identifies new products and suppliers
- stays abreast of and ensures adherence to relevant legislation regarding tendering and procurement procedures"
1135,Charitable organisation managers and directors,"Charitable organisation managers and directors plan, organise, co-ordinate and direct the activities of organisations in the charitable and not-for-profit sector.","- Charity director
- Manager (charitable organisation)","- plans, organises, coordinates and directs the resources of a special interest or charitable organisation
- helps to formulate and implement charitable organisations' policies and ensures these meet legal and statutory provisions
- represents their charity in consultation and negotiation with government, employees, trustees and other bodies
- generates income by co-ordinating funding bids, organising appeals, and managing relationships with funders
- stimulates public interest by providing publicity, giving lectures and interviews and organising appeals
- directs or undertakes the preparation, publication and dissemination of reports and other information pertaining to the organisation"
1136,Human resource managers and directors,"Human resource managers and directors plan, organise and direct the personnel, training and industrial relations policies of organisations, advise on resource allocation and utilisation problems, measure the effectiveness of an organisation�s systems, methods and procedures and advise on, plan and implement procedures to improve utilisation of labour, equipment and materials.","- Human resources business partner
- Human resources director
- Personnel manager
- Recruitment manager
- Training director","- determines staffing needs
- oversees the preparation of job descriptions, drafts advertisements and interviews candidates
- oversees the monitoring of employee performance and career development needs
- provides or arranges for provision of training courses
- undertakes industrial relations negotiations with employees' representatives or trades unions
- develops and administers salary, health and safety and promotion policies
- examines and reports on company and departmental structures, chains of command, information flows, etc. and evaluates efficiency of existing operations
- considers alternative work procedures to improve productivity
- stays abreast of relevant legislation, considers its impact on the organisation's HR strategy and recommends appropriate action"
1137,Information technology directors,"Job holders in this unit group plan, organise, direct and co-ordinate the work and resources necessary to provide and operate IT infrastructure and services, including networks, devices, servers and software that runs on the infrastructure within an organisation. IT programme managers and directors direct and provide technical oversight to particular IT programmes of a discrete duration and/or budget.","- Chief Information officer
- IT Director
- Managing director (computer services)
- Programme manager (computing)
- Technical director (computer services)","- develops in consultation with other senior management the IT strategy of the organisation
- directs the implementation within the organisation of IT strategy, infrastructure, procurement, procedures and standards
- develops the periodic business plan and operational budget for IT to deliver agreed service levels
- considers the required IT staffing levels, oversees recruitment and appointment of staff and directs training policy
- prioritises and schedules major IT projects
- ensures that new technologies are researched and evaluated in the light of the organisation's broad requirements
- works with client or senior management to establish and clarify the aims, objectives and requirements of an IT programme
- plans, directs, reviews and provides technical oversight to IT programmes, involving the co-ordination of multiple IT projects"
1139,Functional managers and directors n.e.c.,Functional managers and directors in this unit group perform a variety of senior management tasks in respect of other specialist functions or fields of activity in organisations not elsewhere classified in MINOR GROUP 113: Functional Managers and Directors.,"- Area secretary (trade association)
- Chief officer (local government)
- Clerk to the county council
- General Secretary (trade union)
- Town Clerk","- helps to formulate and implement local government policy and ensures legal and statutory provisions are observed
- organises local authority office work and resources, negotiates contracted out services
- plans, organises, coordinates and directs the resources of their organisation
- formulates and directs the implementation of an organisation's policies
- drives innovation in the working practices of their organisation
- represents union, association or business in consultation and negotiation with government, employees and other bodies
- stimulates public interest by providing publicity, giving lectures and interviews
- directs or undertakes the preparation, publication and dissemination of reports and other information pertaining to the organisation"
1140,"Directors in logistics, warehousing and transport","Directors in logistics, warehousing and transport plan, organise, direct and co-ordinate the activities and resources necessary for the safe, efficient and economic movement of passengers and freight by road, rail, sea and air transport, and the receipt, storage and warehousing of goods and the maintenance of stocks at an optimal level.","- Airport director
- Head of logistics
- Owner (delivery service)
- Traffic director (transport)","- plans the optimum utilisation of staff and operating equipment, and co-ordinates maintenance activities to ensure least possible disruption to services examines traffic reports, load patterns, traffic receipts and other data and revises transport services or freight rates accordingly
- oversees and directs the movement, handling and storage of freight in transit and the operations of transport hubs such as airports, railways stations and harbours
- arranges for maintenance of airport runways and buildings, liaises with fuel and catering crews to ensure adequate supplies and resolves any complaints and problems raised by airport users.
- ensures that regulations regarding hours of work, the licensing of crews and transport equipment, the operational safety and efficiency of equipment, the insurance of vehicles and other statutory regulations are complied with
- liaises with production, maintenance, sales and other departments to determine the materials and other items required for current and future production schedules and sales commitments
- reviews, develops and implements stock control, handling and distribution policies to maximise use of space, money, labour and other resources
- advises purchasing department on type, quality and quantity of goods required and dates by which they must be available
- prepares reports on expenditure and advises on materials and parts standardisation, future stores and stock control policies
- decides on storage conditions for particular items, allocates warehouse space and arranges for regular stock inspections to detect deterioration or damage"
1150,Managers and directors in retail and wholesale,"Retail and wholesale managers and directors plan, organise, direct and co-ordinate the operations of major retail and wholesale establishments in order to maximise business performance and meet financial goals.","- Manager (garden centre)
- Managing director (wholesale, retail trade)
- Retail manager
- Shop manager (charitable organisation)
- Wholesale manager","- appoints staff, assigns tasks and monitors and reviews staff performance
- liaises with other staff to provide information about merchandise, special promotions etc. to customers
- ensures that adequate reserves of merchandise are held and that stock keeping is carried out efficiently
- ensures customer complaints and queries regarding sales and service are appropriately handled
- oversees the maintenance of financial and other records and controls security arrangements for the premises
- authorises payment for supplies received and decides on vending price, discount rates and credit terms
- examines quality of merchandise and ensures that effective use is made of advertising and display facilities"
